sales_person,sales_department,amount,quantity,street,city,state,item_id,date
Dallas Le,Department B,$61.56,40,1 Tony Circle,Colorado Springs,Colorado,db2657260561ab629b8d3b41ca8eaa3f,1/15/2017
Powell Amorts,Department B,$31.28,26,18800 Monterey Lane,North Port,Florida,66d60e97b2a0167199828c57a4ae4c7c,1/8/2016
Celestyna Erskine,Department C,$95.86,55,503 Prairie Rose Avenue,El Paso,Texas,af65d0065a3af0a4c14fe438fb16b104,2/11/2017
Chad Yeatman,Department A,$19.41,82,885 Luster Avenue,Duluth,Minnesota,2bef8c8aec775874aaeaaa9604253b77,2/11/2017
Bartholemy Kment,Department B,$39.99,12,4951 Surrey Plaza,Louisville,Kentucky,73677b582d2f3581ca8a9a4717293a2a,5/20/2016
Nell Lindup,Department C,$24.57,17,4339 Vermont Plaza,Lexington,Kentucky,4eca3d3c27b9bb9f7c0c2ab39c53a3ef,6/30/2016
Brear Fairs,Department D,$48.51,54,3359 Bartelt Road,Canton,Ohio,8a574d482e6b577abaffd1069a9d3f3c,2/17/2016
Chad Yeatman,Department A,$72.40,67,8368 Leroy Point,Washington,District of Columbia,370c7bcb9f33125be2f3de97e0c241fa,11/1/2016
Bartholemy Kment,Department B,$52.42,4,53 Brentwood Court,El Paso,Texas,f556596959221a1dea408ea6741ec755,4/4/2016
Krystle Boothe,Department D,$46.01,78,71 Ridge Oak Parkway,Kansas City,Missouri,d73ccb91522f8d9d67add7bcf32b3015,6/28/2017
Powell Amorts,Department B,$6.10,3,820 Fordem Terrace,Mobile,Alabama,501a83e443cf0eb3eca17449b74f1450,8/24/2017
Rutherford Kermath,Department D,$48.99,37,01 Haas Point,Portland,Oregon,7d837dfae09c096d2d1f7240e14ddeb0,1/18/2016
Krystle Boothe,Department D,$98.74,24,1816 Shasta Hill,Tucson,Arizona,bc3441347d8a55b555614bb8b96e4924,7/23/2016
Chad Yeatman,Department A,$50.37,31,19478 Waxwing Street,Glendale,California,87a6aa6f6e38c27cf95e896320dcf26a,3/10/2017
Dallas Le,Department B,$22.37,45,7 Esker Trail,Des Moines,Iowa,c1053dafb569fc62c7f3058a6529f20c,11/3/2016
Ortensia Le,Department C,$67.56,11,8 Gina Drive,Colorado Springs,Colorado,aed8e29f0c844ae4836bfcf497aba909,4/22/2017
Ignacio Arpur,Department A,$48.37,73,330 Farwell Pass,Austin,Texas,d2d071443725b6751841a0d7de475b62,10/2/2016
Rutherford Kermath,Department D,$91.09,29,6862 West Plaza,El Paso,Texas,6da6c678528ff4f57c7eb12b10baf161,5/1/2016
Zebedee Kedge,Department A,$74.40,68,925 Spaight Plaza,Salt Lake City,Utah,9c26868b18705fd7bd3091ae2d14df7f,2/7/2017
Powell Amorts,Department B,$39.57,16,02776 Monument Street,Richmond,Virginia,642ef7974b49ba0aabe033d537e5afa2,5/18/2017
Celestyna Erskine,Department C,$36.65,86,041 Chive Center,Madison,Wisconsin,03616385cbca308261c5111dfc2c63fa,10/4/2016
Shane Simkins,Department B,$94.43,61,7 Manitowish Street,Jeffersonville,Indiana,f4f7dca1cd92cd429f1be5fade381b54,5/26/2016
Modesty Berringer,Department D,$87.26,90,6191 Amoth Lane,Sarasota,Florida,99560c4e1d26b0f07b18800c601b542a,11/4/2016
Modesty Berringer,Department D,$36.40,21,014 Holy Cross Pass,Montgomery,Alabama,71fd6c7d00383b494ca4cbbf0764d7e9,6/24/2016
Jacquette Oakley,Department C,$11.26,57,00492 Veith Alley,Greensboro,North Carolina,0ad772ea0160abcf74adf610ad3d5d46,5/10/2017
Atlante Harower,Department D,$2.20,20,32052 Lake View Court,Salt Lake City,Utah,a1ea2c653dd22f7db62cf7fd8928c216,12/7/2016
Rutherford Kermath,Department D,$92.32,29,4 Bayside Point,Dulles,Virginia,fb087b3b9246f4ada3d207436a7747ae,2/27/2017
Ashleigh Baudinot,Department D,$51.44,41,5577 Lakeland Crossing,Tucson,Arizona,8fab88c4dd0e48b3c0048c24bd1b1035,5/24/2016
Dallas Le,Department B,$70.80,26,3 Sheridan Terrace,Detroit,Michigan,12c1acbd74605d3f1f06e7a30fad9df3,7/31/2017
Nell Lindup,Department C,$91.99,98,56953 Lighthouse Bay Hill,Huntington,West Virginia,ecb7de35384c607976d74c27d5a1b2dc,9/14/2016
Shane Simkins,Department B,$11.88,36,6434 Grasskamp Plaza,Shreveport,Louisiana,23238f61670d3c683279cfeb50eeddca,2/17/2017
Ignacio Arpur,Department A,$7.75,14,74 Grasskamp Hill,Akron,Ohio,5a0a6ef86f4f70de4154e897404ca9aa,8/11/2017
Shane Simkins,Department B,$75.75,87,04 Pine View Trail,Albany,New York,6d67b0c0156b6c9691bbef3f54a6d2c9,1/20/2016
Shena Reeson,Department B,$95.95,62,8596 Randy Road,Washington,District of Columbia,8042c5e3440f416cabc80a2e8312268c,12/23/2016
Nell Lindup,Department C,$2.35,4,51715 Hoepker Place,Stockton,California,3d0ac3ac67efd74d8f0cd33d4fdc5502,4/30/2017
Nell Lindup,Department C,$59.81,8,81 Karstens Terrace,Scottsdale,Arizona,aec23b3d9d507cdc6dabc4cf7388658c,7/7/2016
Dallas Le,Department B,$66.36,64,9583 Nancy Road,Amarillo,Texas,c001be080654c28e5e3b7d8587de6561,2/22/2017
Zebedee Kedge,Department A,$5.83,42,4176 Ridge Oak Plaza,Memphis,Tennessee,9fc31ba0a3ccee698de55ab8e3cb3e66,2/6/2017
Zebedee Kedge,Department A,$50.44,1,331 Melvin Road,New York City,New York,852dc0787f6059fe6e76a31596ab0bd2,9/8/2016
Powell Amorts,Department B,$90.16,55,43 Eagan Road,Lexington,Kentucky,818e2a658d3c85b2f65cabfb5d17b33c,8/17/2016
Shena Reeson,Department B,$94.62,90,2 Trailsway Road,Kansas City,Missouri,6d32b3ac89597e90ef6140dbda95d22a,4/12/2017
Powell Amorts,Department B,$49.67,72,6 Holy Cross Avenue,Baton Rouge,Louisiana,e1e2801698147727047b42ba9e1d08df,8/26/2016
Celestyna Erskine,Department C,$84.15,54,64699 Crescent Oaks Court,Kansas City,Missouri,153a0ad46025ea0a1b403303851e9f72,3/11/2016
Brear Fairs,Department D,$27.32,44,50 Corscot Parkway,San Francisco,California,3891f8f67192bd722aedd6e0798767af,8/30/2016
Modesty Berringer,Department D,$55.38,77,30 Stephen Terrace,Lake Worth,Florida,0900a1e9f8afc7877e6be3ddbc790ff1,6/8/2016
Krystle Boothe,Department D,$72.90,30,952 Butternut Plaza,Atlanta,Georgia,8d1768020350fc422bfa4c6a36acb80b,6/17/2017
Dallas Le,Department B,$11.14,58,71627 Carioca Court,Washington,District of Columbia,f3c3066985aa68de59801a7557a2617d,5/16/2016
Linn Becerra,Department B,$53.68,81,85 Alpine Road,Buffalo,New York,7ee156ffdba0ba668c9691ce2ffaf496,6/11/2017
Krystle Boothe,Department D,$1.22,15,47 Redwing Trail,Washington,District of Columbia,7298f9b630e6016b3504bb016db6fcde,4/3/2017
Zebedee Kedge,Department A,$99.02,43,985 Becker Center,Portland,Oregon,415df320bab849138dc1de0a475b3428,1/28/2016
Zaneta Delmage,Department B,$30.98,40,8 Mallory Pass,Birmingham,Alabama,633cc9412b87b6bc05c05c5a7f48751c,10/1/2016
,,,2,5 Trailsway Road,Albuquerque,New Mexico,1f6e285036d56ffe2a0029375a76bf2a,8/23/2017
Rutherford Kermath,Department D,$37.54,93,7104 Bluejay Street,Boston,Massachusetts,516cba08eb10ecb31e74d4574561f0cf,9/9/2016
Powell Amorts,Department B,$86.86,47,66734 Brickson Park Crossing,New York City,New York,c30e407827e8fd358300d4e3a14f0db8,8/27/2016
Linn Becerra,Department B,$73.47,18,46 Forest Place,Schenectady,New York,d2d1327998378a0278ddb1d4ca9728d5,11/11/2016
Ashleigh Baudinot,Department D,$36.89,2,28 Atwood Point,Tampa,Florida,38054f3b14b5ebde61ac7428ace9ecd0,6/14/2016
Bartholemy Kment,Department B,$24.77,38,694 Chive Point,Bethesda,Maryland,943421739b922dd8cd3ae41ad306f134,7/4/2017
Ortensia Le,Department C,$56.60,30,1 6th Hill,Dallas,Texas,c4f3f16df4f46cf6b5cd6865e43e4f73,9/3/2016
Zebedee Kedge,Department A,$40.92,74,3669 Hallows Pass,Saint Petersburg,Florida,86002c6b94a6a7172e10eaf45a1ad297,9/10/2016
Linn Becerra,Department B,$25.34,83,1784 Lerdahl Terrace,Hartford,Connecticut,fe6bf33c97f44add9c5abf934f4c2deb,5/13/2016
Ignacio Arpur,Department A,$36.84,53,8 Claremont Lane,Huntington,West Virginia,42eccb370be408d3559f927e28ce75af,8/16/2017
Bartholemy Kment,Department B,$50.95,43,8 Rigney Crossing,Detroit,Michigan,38d172a694de0976460b36c386f49beb,2/13/2017
Brear Fairs,Department D,$81.71,97,08 Talmadge Hill,Louisville,Kentucky,62a105d428fc88709a1337e4b742f75c,7/14/2016
Jacquette Oakley,Department C,$5.57,44,4736 Park Meadow Park,Tulsa,Oklahoma,86c6a2a182681e6c223ce2f61af8787a,7/8/2016
Krystle Boothe,Department D,$17.17,2,75 Fairfield Terrace,El Paso,Texas,b0b64517acc4244bb11760dca8b5f081,10/16/2016
Ashleigh Baudinot,Department D,$62.07,79,80 Lyons Way,Evansville,Indiana,17becdf24723a392504607d09ce39e63,3/2/2016
Powell Amorts,Department B,$28.11,29,8 Vernon Parkway,Chicago,Illinois,b6fe800a6f497ea6bed0d089e4c15b36,7/27/2016
Gothart Whimpenny,Department C,$60.63,50,9357 Russell Road,Olympia,Washington,b97c753a0b99b57dc10b4ea369481376,8/12/2016
Gothart Whimpenny,Department C,$63.07,62,5 Briar Crest Crossing,Wilmington,North Carolina,67d29b829326c39d53281925d7e970fe,2/18/2016
Modesty Berringer,Department D,$68.20,78,497 Waywood Road,Dayton,Ohio,70327bceaf7346913785ef4f67d9375d,2/19/2017
Nell Lindup,Department C,$47.95,68,82 Blaine Place,Mobile,Alabama,ec0aaf07fd7ead91782bcf581e9b6d54,7/18/2016
Celestyna Erskine,Department C,$46.11,12,1504 Towne Court,Washington,District of Columbia,e13ef030a67f4c4e31e297aa5039b21a,2/16/2017
Krystle Boothe,Department D,$27.76,7,467 Pepper Wood Avenue,Fresno,California,d3c7d7b1ff087b65a2be6cf0f6c52e5a,9/12/2016
Chad Yeatman,Department A,$25.29,62,6409 Killdeer Junction,Newport Beach,California,2841504e1d20fd348979281a46c5fb4e,6/22/2017
Shane Simkins,Department B,$9.13,12,7600 Gale Plaza,North Hollywood,California,9b3d144e5a427d954d6964de2fca9a34,3/11/2017
Chad Yeatman,Department A,$48.00,7,20586 Summer Ridge Lane,Fort Myers,Florida,dacd3ec461f9fa9a812a3dbb485c0144,12/10/2016
Ortensia Le,Department C,$47.35,89,38171 Waywood Point,Duluth,Minnesota,304099cfb686f9529209df099870290f,9/30/2016
Celestyna Erskine,Department C,$57.15,55,85175 Petterle Parkway,Richmond,Virginia,724c3a2e0288d59f96dc9e5db373f801,3/21/2017
Rutherford Kermath,Department D,$62.16,54,34531 Del Mar Way,New Orleans,Louisiana,d6be869b86f41e49f87a909daeb65ee6,3/21/2017
Zebedee Kedge,Department A,$90.17,86,5 Claremont Alley,Philadelphia,Pennsylvania,0bff3713c0e31ce556d7835e0a5d75a2,2/9/2016
Brear Fairs,Department D,$23.95,26,541 Lukken Circle,New Bedford,Massachusetts,09e02f46898e648f3a30019734450c7d,11/17/2016
Ignacio Arpur,Department A,$50.95,100,666 Fremont Parkway,Fort Worth,Texas,749c4c15022093a40575a259a24ce774,6/21/2017
Jacquette Oakley,Department C,$29.64,92,3 Sutteridge Park,Tacoma,Washington,11f2449a08db04c0abfeadc6c927b38a,6/18/2016
Bartholemy Kment,Department B,$4.74,23,0 Golden Leaf Park,Herndon,Virginia,97737f05ca361be9b41edaea8d8afd2b,7/8/2017
Celestyna Erskine,Department C,$9.29,72,31548 Blaine Trail,Chicago,Illinois,1fd76aefca581deb8d6fe1cc8fa08bc1,9/1/2016
Rutherford Kermath,Department D,$78.99,74,210 Eastlawn Park,Arlington,Texas,ec8647e4d921ac980befbcd1803bc174,4/16/2016
Rutherford Kermath,Department D,$91.91,96,33452 7th Center,Topeka,Kansas,d3ad570065692b34fcad53d3c7cdb252,2/19/2016
Brear Fairs,Department D,$20.93,94,577 Doe Crossing Plaza,Hattiesburg,Mississippi,33f90458c46d924880ba224ccd35c348,5/10/2016
Krystle Boothe,Department D,$28.63,36,4762 Welch Parkway,Palatine,Illinois,d4e4b42832d40feb3d2607da74ddd373,1/15/2016
Shena Reeson,Department B,$20.06,47,9 Burning Wood Way,Tucson,Arizona,4f0ad05c1653d94de6baad679a083266,5/22/2017
Shena Reeson,Department B,$88.75,76,94 Mayfield Place,Honolulu,Hawaii,796b3fee0c6f08caaae74b02a8cb0f1a,6/2/2017
Powell Amorts,Department B,$45.93,96,1 Mosinee Pass,San Diego,California,ea6736c6a80e875bcc758597a887874a,8/1/2016
Ashleigh Baudinot,Department D,$14.81,93,6 Green Street,Bozeman,Montana,3ef520b5a6357294bc16f8eaf05c6178,5/23/2017
Bartholemy Kment,Department B,$1.12,43,58874 Saint Paul Avenue,Columbus,Georgia,06bfe2af9b9b97eb328cb6c49c185ea9,12/13/2016
Ashleigh Baudinot,Department D,$48.05,35,877 2nd Crossing,Oklahoma City,Oklahoma,9e64aca2de2bc3973b29c6b2c6b61f27,1/16/2016
Rutherford Kermath,Department D,$65.13,93,02726 Jana Pass,Tallahassee,Florida,d8914100b50583d1179500f4eb06d0c9,1/31/2017
Dallas Le,Department B,$78.18,85,3219 Grayhawk Way,Salt Lake City,Utah,f2c06901b3e531723bed11ca4bafb02b,5/1/2017
Ignacio Arpur,Department A,$22.32,40,62675 Village Green Court,Tulsa,Oklahoma,3e6c1d15f2789b730df6f86d949331b4,4/23/2016
Chad Yeatman,Department A,$34.46,95,15852 Hanson Center,Baltimore,Maryland,a26a379aa55fdc7e59887379fc29de6e,10/22/2016
Ignacio Arpur,Department A,$67.87,25,8 Susan Road,Alexandria,Virginia,4b3ccafaffe4a8eb1de036dc0404821f,6/8/2017
Shena Reeson,Department B,$11.63,74,585 Sachtjen Crossing,Washington,District of Columbia,6ab878adf8b7fa63cd87deac77073e4f,6/21/2016
Nell Lindup,Department C,$39.15,83,275 Pearson Way,Midland,Texas,37a4af7bb03317db75b6ad44095167a8,4/9/2016
Ignacio Arpur,Department A,$66.79,60,07318 Boyd Alley,Melbourne,Florida,ccecf7f96fa9c35066c54f8a213ff57c,10/31/2016
Chad Yeatman,Department A,$42.92,10,16 Chinook Drive,Austin,Texas,86c284d92167db4ace6c0ce99c7a6fe8,1/10/2016
Ignacio Arpur,Department A,$55.16,20,8 Sycamore Center,Beaumont,Texas,c156aae2703150e1533fce309c153bc3,4/3/2017
Atlante Harower,Department D,$71.27,8,314 Colorado Avenue,Albuquerque,New Mexico,8fdbb7f5a949e00c6d86e0dbc1dc4c7a,2/28/2016
,,,10,54 Pawling Drive,Little Rock,Arkansas,953686301301f8f9544dbf58e6a447cb,5/13/2016
Jacquette Oakley,Department C,$43.91,80,94149 Onsgard Trail,Bronx,New York,4c97be4926b653d13788853ec351d28a,8/26/2016
Brear Fairs,Department D,$89.23,2,77 Katie Point,Houston,Texas,aba1fcb11a3e1821a8cbafe92b948c2d,3/28/2017
Powell Amorts,Department B,$64.35,95,9061 Troy Alley,Columbia,Missouri,4f313a5271b6b5787d699d0a2825b76d,12/30/2016
Jacquette Oakley,Department C,$47.70,35,02516 Carpenter Court,Muskegon,Michigan,0bc5d08658ac06cdfcea8cb1a1bbbc5f,8/19/2017
Powell Amorts,Department B,$83.33,35,7805 Moulton Street,Columbia,South Carolina,ec1fe783f2e1b7fc432f86a697ba706e,4/27/2017
Shena Reeson,Department B,$81.96,24,574 Waxwing Way,Wichita Falls,Texas,2d935aabfaf851fc06766c1b0b450ced,1/26/2016
Ortensia Le,Department C,$60.94,19,2 Anthes Crossing,Fort Wayne,Indiana,423fbbb7fedc6c8962b36065687c4a83,4/25/2017
Modesty Berringer,Department D,$10.48,92,60 Maple Wood Place,Frankfort,Kentucky,de58d9731694514a174ab7238c241288,7/8/2016
Zebedee Kedge,Department A,$38.32,13,8 Thompson Hill,Mount Vernon,New York,0c28d737241694540375f6f75cb8fdfd,5/24/2016
Dallas Le,Department B,$93.14,82,74264 Monterey Circle,San Jose,California,240f997816c986ccaecbe172cd398b7d,12/13/2016
Shena Reeson,Department B,$69.07,52,7 Thackeray Center,Fullerton,California,de96c6c612a7e8eaebe39d56ab98c2d4,3/25/2016
Rutherford Kermath,Department D,$24.81,4,5203 Esch Pass,Arlington,Virginia,58f28bdaf43b23b8e07b390fcd66bcd5,9/8/2016
Brear Fairs,Department D,$22.27,16,08358 Algoma Court,Denver,Colorado,a4ef2dfcc4f4e02ac942cf79ab6117b0,5/30/2016
Linn Becerra,Department B,$35.19,7,4 Garrison Point,Washington,District of Columbia,83104d16e8cfc03f7defa7e51859331e,1/4/2017
Ortensia Le,Department C,$11.14,73,673 Little Fleur Way,Seattle,Washington,026e039628c0f9fc22c39a9dabccf093,2/2/2016
Ashleigh Baudinot,Department D,$71.59,45,5 Tony Parkway,Elmira,New York,48992d9b21e97960d984014f3958e12b,3/10/2017
Shane Simkins,Department B,$1.58,10,3 Helena Lane,Portland,Oregon,b8b02600929586643c9735e4ac909466,7/31/2016
Celestyna Erskine,Department C,$68.39,14,2650 Clyde Gallagher Terrace,El Paso,Texas,1f2ea964a65ab8057451a905739bb1ac,7/16/2016
Powell Amorts,Department B,$67.94,75,980 Merrick Point,El Paso,Texas,ea2e53fb4645af77f33b8982efc56679,4/30/2016
Ashleigh Baudinot,Department D,$20.08,38,2452 Waubesa Park,Lincoln,Nebraska,5d8f126e1ee38aefc65116345b877b90,6/10/2017
Shane Simkins,Department B,$5.51,84,865 Buena Vista Road,Las Vegas,Nevada,2eb2fa741fbad5be1f3ca779ba8eeb0a,4/18/2016
Linn Becerra,Department B,$47.80,58,7105 Moose Trail,Berkeley,California,12c3607dc74c6b81ed902b7ea0709d8a,8/24/2016
Ignacio Arpur,Department A,$83.02,7,15480 Dryden Pass,Indianapolis,Indiana,f3c0996c80dee929a5aefdaef4d408b9,1/26/2017
Krystle Boothe,Department D,$91.20,91,92 Straubel Road,Saint Louis,Missouri,68b254d2165050d3468e36da41c1c064,9/12/2016
Dallas Le,Department B,$38.90,41,9219 Division Park,Great Neck,New York,80e3254f49b41bcd2e52c566fa1fef80,2/4/2017
Nell Lindup,Department C,$3.56,41,21 Menomonie Junction,Laurel,Maryland,a2708f4d7bbee600e8e1fd12aae5322c,10/19/2016
Ortensia Le,Department C,$73.67,95,91 Becker Junction,White Plains,New York,1e02f17e2ef33955146b61ac0cc4b5ef,4/17/2017
Ignacio Arpur,Department A,$84.16,3,8 Loomis Avenue,Saint Petersburg,Florida,6e230a8781bff2ecf5af35aeda7337d1,11/29/2016
Modesty Berringer,Department D,$52.14,57,07 Norway Maple Junction,Jefferson City,Missouri,bf0b51f6e24dc5d5cad9cde40a53ab59,11/28/2016
Ignacio Arpur,Department A,$75.44,74,205 Starling Drive,El Paso,Texas,c86d22378c8e5f80e351f28f5e7489ef,4/6/2016
Modesty Berringer,Department D,$94.08,3,93 Dixon Terrace,Fresno,California,196466f22ecb1c5d529536b547c7bf77,6/16/2016
Krystle Boothe,Department D,$53.39,61,4 Monica Junction,Baton Rouge,Louisiana,b66b0946feec620901db34b0c508908b,11/6/2016
Ashleigh Baudinot,Department D,$18.49,3,39 Stang Hill,White Plains,New York,942356bc1571cbc138819d00e815a764,2/21/2017
Brear Fairs,Department D,$32.03,64,046 Ridgeway Trail,San Francisco,California,76e86469fb13927c8b9779b61218dfbb,3/29/2016
Rutherford Kermath,Department D,$8.09,21,2105 Drewry Alley,Dayton,Ohio,0d41fdc4340dc2a7791cbbd48aca6fd3,11/11/2016
Chad Yeatman,Department A,$8.25,29,095 Ramsey Terrace,Saint Paul,Minnesota,cf67020a2039a0830b44997705778af7,5/16/2016
Linn Becerra,Department B,$92.05,4,8184 Mayer Crossing,Louisville,Kentucky,f0e7faffb9715ae191ce83064804724a,2/17/2016
Gothart Whimpenny,Department C,$71.94,25,031 Ridgeview Court,Louisville,Kentucky,5714e72c6b46c70565ec7b6d88151c2f,5/14/2017
Atlante Harower,Department D,$16.32,90,313 Florence Road,Merrifield,Virginia,34867309c3536582288ae6ad78d0186f,3/22/2016
Linn Becerra,Department B,$37.00,98,67370 Melvin Drive,Seattle,Washington,2b6be50dd3ca5f9def64580ab9b78a7c,4/17/2017
Ortensia Le,Department C,$99.14,72,716 Bultman Plaza,San Francisco,California,ba16b451d03f6eff1400a78f5d1153e7,11/4/2016
Krystle Boothe,Department D,$96.81,62,6 Bay Circle,Fort Worth,Texas,b96ce5bf500a60de73afb155a9e649e6,8/31/2016
Brear Fairs,Department D,$26.86,3,78 Nevada Trail,San Diego,California,007815049b54b77947551c7e9638c6f9,8/20/2016
Shena Reeson,Department B,$44.11,33,69256 Leroy Circle,New York City,New York,0c5b5c61373e968d53cfe6e90fbb3f31,5/3/2016
Gothart Whimpenny,Department C,$64.37,40,5241 Kenwood Trail,Lincoln,Nebraska,44aff1053c194be0a806617427b251d7,1/4/2017
Nell Lindup,Department C,$23.42,93,73104 7th Terrace,San Antonio,Texas,197c902ff914f3638ef6e75d306198ac,3/9/2017
Atlante Harower,Department D,$61.13,75,293 Stuart Way,Peoria,Illinois,a66bdc20ece2c300bd453877a3511ea0,6/6/2017
Chad Yeatman,Department A,$35.79,3,6158 Evergreen Street,Orlando,Florida,a22502a448e047370024a988f34974c5,8/26/2017
Shane Simkins,Department B,$61.02,38,327 Bunker Hill Alley,Indianapolis,Indiana,6798a0c1d95d735654dafb7f808a6bd1,2/22/2016
Ashleigh Baudinot,Department D,$44.39,99,28 Summerview Trail,Raleigh,North Carolina,50d93df1502128ffd44046518d142796,4/14/2017
Atlante Harower,Department D,$85.99,66,043 Anzinger Road,Houston,Texas,cb385dc002c08924eee795bfc5a20596,1/17/2016
Ortensia Le,Department C,$69.24,41,91590 Commercial Park,West Palm Beach,Florida,90ab5173371a3a39b35b36a709891a4a,7/19/2016
Modesty Berringer,Department D,$86.27,95,6652 Little Fleur Court,Anderson,Indiana,a88b9751bbc6a6021f04c1dfc6930555,8/1/2017
Ignacio Arpur,Department A,$36.07,91,8727 Eggendart Place,Pittsburgh,Pennsylvania,dcb072df1fa980f7367092c136d83908,2/20/2017
Dallas Le,Department B,$3.66,77,84723 Sunnyside Way,Tampa,Florida,758ea7b1a1e1e83b0e9429f0868fb865,6/14/2016
Powell Amorts,Department B,$27.99,14,38612 Vernon Avenue,San Jose,California,1402c95664a23a6bc494c98fd41c99f7,4/3/2016
Shena Reeson,Department B,$77.64,90,70408 Fordem Court,Morgantown,West Virginia,a0d5e7f6bedd0c66c792cc29d16ac27a,4/26/2017
Krystle Boothe,Department D,$52.18,96,0 Elmside Place,Birmingham,Alabama,5c82e3d7e9d5682ecedd7efc76d10613,6/13/2017
Krystle Boothe,Department D,$12.49,71,566 6th Avenue,Gainesville,Florida,80d950c016e8ef9a8c93a88054b35c45,5/10/2017
Gothart Whimpenny,Department C,$65.74,88,475 7th Avenue,Sioux City,Iowa,670218a4c7729dbd1d4941985209980f,6/13/2017
Bartholemy Kment,Department B,$4.46,4,73176 Ridge Oak Plaza,Boynton Beach,Florida,74e853240cf228c3c043b67075eb0ea3,4/14/2016
Celestyna Erskine,Department C,$21.78,88,3 Gulseth Way,Erie,Pennsylvania,96173a49c4484da50ad6f1cbb1bc22ff,11/26/2016
Powell Amorts,Department B,$10.32,64,877 Kinsman Crossing,San Francisco,California,772e768470b0d50f9edf5f2bb2939388,10/15/2016
Jacquette Oakley,Department C,$90.98,56,675 Donald Point,Little Rock,Arkansas,d23498613a43c9514baceb79ed6d8bf2,4/21/2017
Atlante Harower,Department D,$47.34,23,7381 Burrows Drive,Roanoke,Virginia,735441316a3ae4565adea9c6c0d15e04,3/17/2016
Zebedee Kedge,Department A,$95.61,36,341 Algoma Avenue,Nashville,Tennessee,a8fcd0b21e2fb3344c5ada6d20e0be54,2/19/2016
Ortensia Le,Department C,$57.99,11,0 Carpenter Court,Fullerton,California,c784b0e085a3cb2b4524808d64435afe,3/30/2016
Nell Lindup,Department C,$63.12,9,3 Butterfield Drive,Rochester,New York,0ccded1bcdf6007cb9546023a5b94097,6/28/2017
Krystle Boothe,Department D,$5.07,28,4 Golf View Hill,Scottsdale,Arizona,e7b72cf8c816c20f32bd8a61190c1ca9,4/23/2017
Chad Yeatman,Department A,$79.09,51,647 Waxwing Junction,San Antonio,Texas,0ce4ba1a163ab63cb0573131f5b8dcaf,7/24/2017
Jacquette Oakley,Department C,$89.00,7,0 Marcy Street,Montgomery,Alabama,491199ce8150e756ef616dfdcdc7f70e,12/25/2016
Shena Reeson,Department B,$6.15,96,411 Parkside Alley,Palatine,Illinois,cd7f16343370862648aea145adb1e5df,11/29/2016
Chad Yeatman,Department A,$5.44,86,6320 Sugar Avenue,Carlsbad,California,b192d35408f18586411d9b8f60fe24dc,6/29/2016
Zaneta Delmage,Department B,$20.76,91,357 Pleasure Plaza,Nashville,Tennessee,498325ee83fd4b83c82be5e92235b523,7/8/2017
Krystle Boothe,Department D,$77.19,100,30520 Luster Place,Pinellas Park,Florida,62cf84643f107d17f36a2f46e20e798e,4/18/2016
Jacquette Oakley,Department C,$13.32,83,46 Leroy Alley,Minneapolis,Minnesota,9c184c424b7834ba96c327db1a2302e3,5/10/2016
Krystle Boothe,Department D,$84.26,33,875 Main Way,Brooklyn,New York,cda3d1377e035b0897067aa89639d88f,6/25/2016
Shane Simkins,Department B,$57.97,74,34 Eastlawn Place,Spokane,Washington,d343d91af46d9736ee8ed73786e11b83,2/17/2017
Shane Simkins,Department B,$53.79,10,38 Merchant Lane,Honolulu,Hawaii,aa53c95c9dd8e0eed01f59382873d51d,8/29/2017
Ashleigh Baudinot,Department D,$2.06,2,79 Sage Plaza,San Francisco,California,c4c0f7037eae9dff9ac1c4b4e1838528,1/31/2017
Linn Becerra,Department B,$12.73,78,80 Maple Street,Ventura,California,2ffe4eb5f90383aac72ce507c1c80c5b,8/2/2017
Shena Reeson,Department B,$77.19,51,24942 Mifflin Junction,Huntington,West Virginia,4b401e43ec9d8b27e4c3e34824099ecd,4/21/2017
Gothart Whimpenny,Department C,$54.57,84,6 Express Court,Portsmouth,New Hampshire,54889aaa723f6a97f8f05487ae73e9f0,5/28/2017
Zebedee Kedge,Department A,$96.93,11,6221 Stuart Hill,Nashville,Tennessee,a9aad4bd7ed1822a07aa74bb7660b7af,12/21/2016
Brear Fairs,Department D,$46.05,71,2 Knutson Crossing,Bethlehem,Pennsylvania,edbdd935f2a3e3eecaddf9ed0eda17f2,4/15/2016
Chad Yeatman,Department A,$18.31,98,86686 Hazelcrest Avenue,Fort Wayne,Indiana,5c0ad5be86f595b58ec82113423490b5,10/28/2016
Ortensia Le,Department C,$15.90,38,6 Bartillon Crossing,Atlanta,Georgia,1caaa786fe06b7c8fd42705703037f62,10/12/2016
Zebedee Kedge,Department A,$54.42,100,864 Anniversary Pass,Rochester,New York,c8068ef0449027e806311a9666115911,12/15/2016
Zaneta Delmage,Department B,$57.26,63,6 Meadow Ridge Circle,Saint Paul,Minnesota,72a99f8ee8ee8ee86c2d0265ca1af2c3,2/26/2016
Shena Reeson,Department B,$6.51,78,8 Twin Pines Way,Sioux Falls,South Dakota,281e3ab66adde2bd1ceb58c7c9a60510,4/4/2017
Ignacio Arpur,Department A,$31.89,41,12 Blaine Center,Wilkes Barre,Pennsylvania,269ce8692738229f8cc78894892a7dec,5/2/2017
Krystle Boothe,Department D,$28.21,30,003 Bashford Parkway,Kent,Washington,c22b1f217155b90db1a74c8f1f7b9c79,6/12/2017
